station,valid,tmpc,dwpc,relh,drct,sknt,alti,p01m,vsby,gust,wxcodes,source_station,source_network
ATL,2025-01-01 00:52,12.78,2.78,50.58,310.00,18.0,29.89,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-01 01:52,11.11,1.67,52.15,310.00,17.0,29.92,0.00,10.0,26.00,M,ATL,GA_ASOS
ATL,2025-01-01 02:52,10.00,1.67,56.16,310.00,14.0,29.93,0.00,10.0,23.00,M,ATL,GA_ASOS
ATL,2025-01-01 03:52,9.44,1.67,58.30,310.00,9.0,29.95,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 04:52,9.44,0.56,53.82,310.00,17.0,29.97,0.00,10.0,22.00,M,ATL,GA_ASOS
ATL,2025-01-01 05:52,8.89,0.56,55.87,310.00,13.0,29.98,0.00,10.0,22.00,M,ATL,GA_ASOS
ATL,2025-01-01 06:52,8.33,0.00,55.73,310.00,15.0,29.99,0.00,10.0,26.00,M,ATL,GA_ASOS
ATL,2025-01-01 07:52,7.22,0.00,60.11,320.00,14.0,30.0,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 08:52,6.67,0.00,62.44,320.00,11.0,30.02,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 09:52,6.11,0.00,64.88,310.00,11.0,30.04,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 10:52,5.00,0.56,72.96,290.00,7.0,30.07,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 11:52,4.44,0.56,75.84,310.00,9.0,30.08,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 12:52,4.44,0.56,75.84,300.00,10.0,30.11,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 13:52,5.56,1.11,73.06,310.00,10.0,30.14,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 14:52,7.78,0.56,60.25,340.00,13.0,30.15,0.00,10.0,24.00,M,ATL,GA_ASOS
ATL,2025-01-01 15:52,8.89,0.00,53.67,330.00,14.0,30.17,0.00,10.0,25.00,M,ATL,GA_ASOS
ATL,2025-01-01 16:52,10.00,0.00,49.81,330.00,15.0,30.16,0.00,10.0,22.00,M,ATL,GA_ASOS
ATL,2025-01-01 17:52,10.56,0.56,49.96,310.00,13.0,30.15,0.00,10.0,20.00,M,ATL,GA_ASOS
ATL,2025-01-01 18:52,11.11,0.56,48.15,320.00,12.0,30.14,0.00,10.0,19.00,M,ATL,GA_ASOS
ATL,2025-01-01 19:52,11.11,0.56,48.15,310.00,13.0,30.15,0.00,10.0,21.00,M,ATL,GA_ASOS
ATL,2025-01-01 20:52,11.11,0.00,46.25,350.00,13.0,30.15,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 21:52,10.00,-0.56,47.83,280.00,15.0,30.18,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 22:52,7.78,-0.56,55.58,300.00,13.0,30.2,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-01 23:52,6.67,-0.56,59.97,300.00,9.0,30.22,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 00:52,6.11,-1.11,59.83,310.00,13.0,30.23,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 01:52,5.56,-1.11,62.18,330.00,10.0,30.24,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 02:52,4.44,-1.67,64.50,330.00,7.0,30.25,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 03:52,3.89,-1.67,67.06,330.00,7.0,30.26,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 04:52,2.78,-2.22,69.63,330.00,6.0,30.26,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 05:52,1.67,-2.22,75.36,330.00,4.0,30.25,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 06:52,1.11,-2.78,75.26,310.00,6.0,30.25,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 07:52,1.11,-2.78,75.26,300.00,9.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 08:52,0.56,-3.33,75.17,330.00,8.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 09:52,0.00,-3.89,75.07,330.00,9.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 10:52,0.00,-4.44,72.00,330.00,10.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 11:52,-0.56,-5.00,71.89,320.00,9.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 12:52,-0.56,-5.00,71.89,320.00,10.0,30.3,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 13:52,0.56,-5.00,66.32,320.00,10.0,30.33,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 14:52,2.78,-5.00,56.57,320.00,9.0,30.36,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 15:52,5.00,-6.11,44.47,310.00,10.0,30.37,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 16:52,7.78,-7.22,33.72,330.00,12.0,30.34,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 17:52,8.89,-7.22,31.27,300.00,8.0,30.31,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 18:52,10.00,-7.22,29.02,310.00,10.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 19:52,10.56,-8.33,25.66,330.00,7.0,30.27,0.00,10.0,16.00,M,ATL,GA_ASOS
ATL,2025-01-02 20:52,10.56,-8.89,24.57,310.00,7.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 21:52,10.00,-8.33,26.63,330.00,6.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 22:52,7.78,-7.78,32.30,310.00,5.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-02 23:52,6.11,-6.11,41.17,290.00,6.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 00:52,5.56,-6.67,41.00,300.00,4.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 01:52,5.00,-6.11,44.47,320.00,4.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 02:52,6.11,-7.22,37.81,350.00,9.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 03:52,6.11,-6.67,39.46,350.00,7.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 04:52,2.78,-5.00,56.57,300.00,3.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 05:52,2.22,-5.00,58.85,290.00,4.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 06:52,2.78,-5.00,56.57,310.00,4.0,30.26,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 07:52,2.78,-3.89,61.50,0.00,0.0,30.25,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 08:52,2.78,-4.44,58.99,290.00,4.0,30.26,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 09:52,2.78,-5.00,56.57,290.00,6.0,30.25,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 10:52,3.33,-3.89,59.13,0.00,0.0,30.25,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 11:52,2.78,-5.00,56.57,270.00,4.0,30.25,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 12:52,2.78,-5.00,56.57,270.00,6.0,30.24,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 13:52,6.11,-5.00,44.80,280.00,10.0,30.23,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 14:52,7.78,-4.44,41.67,280.00,12.0,30.24,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 15:52,10.00,-3.33,38.97,290.00,10.0,30.24,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-03 16:52,11.67,-2.78,36.36,310.00,14.0,30.22,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-03 17:52,12.78,-1.11,38.21,290.00,16.0,30.19,0.00,10.0,26.00,M,ATL,GA_ASOS
ATL,2025-01-03 18:52,13.33,-1.67,35.38,280.00,17.0,30.17,0.00,10.0,29.00,M,ATL,GA_ASOS
ATL,2025-01-03 19:52,12.22,-2.78,35.05,310.00,16.0,30.17,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-03 20:52,12.22,-3.89,32.26,320.00,17.0,30.18,0.00,10.0,29.00,M,ATL,GA_ASOS
ATL,2025-01-03 21:52,10.56,-6.67,29.18,300.00,21.0,30.19,0.00,10.0,30.00,M,ATL,GA_ASOS
ATL,2025-01-03 22:52,9.44,-7.22,30.12,310.00,17.0,30.21,0.00,10.0,26.00,M,ATL,GA_ASOS
ATL,2025-01-03 23:52,8.33,-7.78,31.11,310.00,20.0,30.23,0.00,10.0,29.00,M,ATL,GA_ASOS
ATL,2025-01-04 00:52,7.22,-6.11,38.14,320.00,17.0,30.25,0.00,10.0,26.00,M,ATL,GA_ASOS
ATL,2025-01-04 01:52,6.11,-6.67,39.46,330.00,16.0,30.26,0.00,10.0,27.00,M,ATL,GA_ASOS
ATL,2025-01-04 02:52,5.00,-7.22,40.83,340.00,13.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 03:52,3.89,-9.44,37.13,320.00,12.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 04:52,2.78,-8.33,43.80,310.00,9.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 05:52,2.22,-7.22,49.66,300.00,8.0,30.3,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 06:52,1.67,-6.67,53.93,310.00,9.0,30.3,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 07:52,1.11,-6.67,56.12,310.00,7.0,30.3,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 08:52,1.11,-7.22,53.77,320.00,8.0,30.3,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 09:52,0.56,-7.78,53.62,310.00,8.0,30.3,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 10:52,0.00,-7.78,55.82,320.00,9.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 11:52,0.00,-7.78,55.82,330.00,8.0,30.31,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 12:52,-0.56,-7.78,58.12,310.00,9.0,30.32,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 13:52,0.56,-8.89,49.18,320.00,10.0,30.33,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 14:52,2.22,-10.00,39.99,330.00,10.0,30.35,0.00,10.0,19.00,M,ATL,GA_ASOS
ATL,2025-01-04 15:52,3.89,-11.67,31.13,340.00,11.0,30.36,0.00,10.0,21.00,M,ATL,GA_ASOS
ATL,2025-01-04 16:52,5.56,-11.67,27.71,310.00,11.0,30.36,0.00,10.0,20.00,M,ATL,GA_ASOS
ATL,2025-01-04 17:52,7.22,-12.22,23.63,320.00,10.0,30.34,0.00,10.0,19.00,M,ATL,GA_ASOS
ATL,2025-01-04 18:52,8.33,-11.11,23.94,320.00,12.0,30.31,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 19:52,8.33,-11.11,23.94,310.00,10.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 20:52,8.89,-10.56,24.10,300.00,6.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 21:52,7.78,-9.44,28.37,330.00,10.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 22:52,6.11,-9.44,31.80,330.00,6.0,30.3,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-04 23:52,5.56,-9.44,33.05,340.00,6.0,30.3,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 00:52,4.44,-7.78,40.67,0.00,0.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 01:52,3.33,-7.78,43.97,320.00,4.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 02:52,2.78,-7.78,45.73,290.00,3.0,30.3,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 03:52,2.78,-7.22,47.74,250.00,3.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 04:52,2.78,-8.33,43.80,300.00,3.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 05:52,1.67,-6.11,56.27,0.00,0.0,30.26,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 06:52,1.67,-6.11,56.27,80.00,5.0,30.23,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 07:52,2.22,-5.56,56.42,300.00,4.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 08:52,0.56,-6.11,60.95,300.00,5.0,30.27,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 09:52,2.22,-4.44,61.37,0.00,0.0,30.26,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 10:52,3.89,-7.22,44.14,20.00,3.0,30.26,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 11:52,3.89,-6.11,48.06,110.00,4.0,30.23,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 12:52,3.89,-6.67,46.06,90.00,6.0,30.21,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 13:52,4.44,-5.00,50.30,140.00,5.0,30.2,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 14:52,6.67,-5.00,43.11,100.00,3.0,30.22,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 15:52,7.78,-3.89,43.44,170.00,7.0,30.21,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 16:52,10.00,-3.89,37.39,170.00,6.0,30.17,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 17:52,11.11,-4.44,33.30,220.00,12.0,30.13,0.00,10.0,16.00,M,ATL,GA_ASOS
ATL,2025-01-05 18:20,11.11,-3.33,36.19,200.00,7.0,30.11,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 18:44,11.67,-3.89,33.46,210.00,10.0,30.1,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 18:52,11.11,-3.33,36.19,200.00,9.0,30.1,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 19:52,11.11,-0.56,44.42,190.00,8.0,30.08,0.00,10.0,M,-RA,ATL,GA_ASOS
ATL,2025-01-05 20:52,11.11,0.56,48.15,190.00,7.0,30.06,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-05 21:52,10.00,2.22,58.44,170.00,10.0,30.03,0.00,10.0,M,-RA,ATL,GA_ASOS
ATL,2025-01-05 22:52,8.33,5.56,82.65,130.00,5.0,30.03,0.76,6.0,M,RA,ATL,GA_ASOS
ATL,2025-01-05 23:52,7.78,6.11,89.20,120.00,6.0,30.03,2.79,5.0,M,-RA BR,ATL,GA_ASOS
ATL,2025-01-06 00:52,7.78,5.56,85.83,120.00,10.0,30.01,0.76,10.0,M,-RA,ATL,GA_ASOS
ATL,2025-01-06 01:10,7.22,5.00,85.77,130.00,8.0,30.01,T,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-06 01:52,7.22,4.44,82.51,120.00,9.0,30.0,T,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-06 02:52,7.78,3.89,76.40,140.00,9.0,29.98,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-06 03:52,8.33,3.33,70.74,150.00,10.0,29.95,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-06 04:52,10.00,4.44,68.37,170.00,13.0,29.89,0.00,10.0,20.00,M,ATL,GA_ASOS
ATL,2025-01-06 05:52,9.44,5.56,76.67,130.00,6.0,29.85,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-06 06:52,12.78,10.00,83.20,180.00,14.0,29.8,0.00,10.0,23.00,M,ATL,GA_ASOS
ATL,2025-01-06 07:35,13.33,10.56,83.26,180.00,13.0,29.76,0.00,10.0,22.00,M,ATL,GA_ASOS
ATL,2025-01-06 07:52,13.33,11.11,86.40,180.00,15.0,29.75,T,10.0,22.00,M,ATL,GA_ASOS
ATL,2025-01-06 08:52,13.89,12.22,89.68,180.00,15.0,29.7,1.52,6.0,23.00,-RA BR,ATL,GA_ASOS
ATL,2025-01-06 09:46,15.00,13.00,87.83,240.00,11.0,29.68,0.00,3.0,18.00,RA BR,ATL,GA_ASOS
ATL,2025-01-06 09:52,15.00,13.89,93.07,250.00,13.0,29.7,3.05,1.5,20.00,+RA BR,ATL,GA_ASOS
ATL,2025-01-06 09:56,15.00,13.89,93.07,250.00,13.0,29.69,0.00,2.5,20.00,+RA BR,ATL,GA_ASOS
ATL,2025-01-06 09:58,15.00,13.89,93.07,250.00,13.0,29.7,0.00,3.0,20.00,+RA BR,ATL,GA_ASOS
ATL,2025-01-06 10:08,15.00,13.89,93.07,270.00,14.0,29.69,0.00,6.0,M,-RA BR,ATL,GA_ASOS
ATL,2025-01-06 10:49,13.00,12.00,93.65,280.00,10.0,29.72,0.00,3.0,19.00,RA BR,ATL,GA_ASOS
ATL,2025-01-06 10:52,12.78,11.67,92.95,290.00,12.0,29.72,3.30,4.0,19.00,RA BR,ATL,GA_ASOS
ATL,2025-01-06 11:52,11.11,10.00,92.86,280.00,9.0,29.73,1.78,4.0,M,RA BR,ATL,GA_ASOS
ATL,2025-01-06 11:59,11.11,10.00,92.86,270.00,12.0,29.73,0.51,3.0,M,RA BR,ATL,GA_ASOS
ATL,2025-01-06 12:20,11.11,9.44,89.46,270.00,10.0,29.73,1.52,7.0,M,-RA,ATL,GA_ASOS
ATL,2025-01-06 12:46,11.00,9.00,87.47,280.00,11.0,29.73,1.52,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-06 12:52,10.56,8.89,89.42,280.00,10.0,29.73,1.52,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-06 13:35,10.56,8.33,86.12,280.00,12.0,29.74,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-06 13:52,10.00,6.67,79.76,280.00,17.0,29.75,0.00,10.0,27.00,M,ATL,GA_ASOS
ATL,2025-01-06 14:33,8.33,5.56,82.65,300.00,16.0,29.78,0.00,10.0,29.00,M,ATL,GA_ASOS
ATL,2025-01-06 14:52,6.67,4.44,85.71,330.00,19.0,29.8,0.00,10.0,25.00,M,ATL,GA_ASOS
ATL,2025-01-06 15:35,6.11,2.78,79.19,300.00,15.0,29.82,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-06 15:52,6.11,2.22,76.12,300.00,14.0,29.82,0.00,10.0,21.00,M,ATL,GA_ASOS
ATL,2025-01-06 16:52,6.67,1.67,70.42,290.00,15.0,29.83,0.00,10.0,26.00,M,ATL,GA_ASOS
ATL,2025-01-06 17:52,7.78,1.11,62.71,290.00,15.0,29.81,0.00,10.0,30.00,M,ATL,GA_ASOS
ATL,2025-01-06 18:46,5.00,-1.00,65.16,280.00,20.0,29.84,0.00,10.0,35.00,M,ATL,GA_ASOS
ATL,2025-01-06 18:52,4.44,-0.56,69.97,310.00,14.0,29.84,0.00,10.0,34.00,M,ATL,GA_ASOS
ATL,2025-01-06 19:52,2.78,-2.78,66.82,300.00,20.0,29.86,0.00,10.0,41.00,M,ATL,GA_ASOS
ATL,2025-01-06 20:52,1.11,-2.78,75.26,290.00,16.0,29.9,0.00,10.0,35.00,M,ATL,GA_ASOS
ATL,2025-01-06 21:52,0.56,-3.89,72.11,300.00,20.0,29.94,0.00,10.0,34.00,M,ATL,GA_ASOS
ATL,2025-01-06 22:52,0.00,-4.44,72.00,310.00,13.0,29.97,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-06 23:52,-0.56,-6.11,66.07,310.00,18.0,30.01,0.00,10.0,42.00,M,ATL,GA_ASOS
ATL,2025-01-07 00:52,-0.56,-6.67,63.32,310.00,22.0,30.03,0.00,10.0,41.00,M,ATL,GA_ASOS
ATL,2025-01-07 01:52,-0.56,-6.67,63.32,330.00,18.0,30.05,0.00,10.0,24.00,M,ATL,GA_ASOS
ATL,2025-01-07 02:52,-0.56,-6.67,63.32,330.00,22.0,30.06,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-07 03:52,-0.56,-6.67,63.32,340.00,17.0,30.09,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-07 04:52,-0.56,-6.67,63.32,330.00,20.0,30.12,0.00,10.0,32.00,M,ATL,GA_ASOS
ATL,2025-01-07 05:52,-1.11,-7.22,63.18,340.00,24.0,30.12,0.00,10.0,35.00,M,ATL,GA_ASOS
ATL,2025-01-07 06:52,-1.11,-7.22,63.18,340.00,18.0,30.12,0.00,10.0,26.00,M,ATL,GA_ASOS
ATL,2025-01-07 07:25,-1.11,-7.22,63.18,340.00,14.0,30.12,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-07 07:52,-1.67,-6.67,68.69,350.00,13.0,30.14,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-07 08:10,-1.67,-6.67,68.69,350.00,13.0,30.14,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-07 08:52,-1.67,-7.22,65.81,340.00,17.0,30.15,0.00,10.0,28.00,M,ATL,GA_ASOS
ATL,2025-01-07 09:52,-1.67,-7.22,65.81,340.00,15.0,30.16,0.00,10.0,35.00,M,ATL,GA_ASOS
ATL,2025-01-07 10:52,-2.22,-7.22,68.57,330.00,11.0,30.18,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-07 11:52,-2.22,-7.22,68.57,330.00,15.0,30.19,0.00,10.0,23.00,M,ATL,GA_ASOS
ATL,2025-01-07 12:52,-2.22,-6.67,71.56,330.00,12.0,30.22,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-07 13:52,-1.11,-6.67,65.94,330.00,16.0,30.24,0.00,10.0,24.00,M,ATL,GA_ASOS
ATL,2025-01-07 14:52,0.56,-6.67,58.41,320.00,12.0,30.28,0.00,10.0,23.00,M,ATL,GA_ASOS
ATL,2025-01-07 15:52,1.67,-6.67,53.93,340.00,12.0,30.3,0.00,10.0,20.00,M,ATL,GA_ASOS
ATL,2025-01-07 16:52,2.78,-6.67,49.82,340.00,11.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-07 17:52,3.89,-6.67,46.06,310.00,9.0,30.24,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-07 18:52,5.00,-6.11,44.47,320.00,7.0,30.24,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-07 19:52,5.56,-6.67,41.00,310.00,9.0,30.23,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-07 20:52,5.00,-6.67,42.62,310.00,11.0,30.23,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-07 21:52,4.44,-6.67,44.30,330.00,8.0,30.25,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-07 22:52,2.78,-6.67,49.82,320.00,11.0,30.26,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-07 23:52,1.67,-6.67,53.93,320.00,10.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 00:52,0.56,-6.67,58.41,320.00,10.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 01:52,0.00,-6.67,60.81,330.00,8.0,30.28,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 02:52,-1.11,-6.67,65.94,310.00,8.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 03:52,-1.11,-6.67,65.94,300.00,8.0,30.3,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 04:52,-1.67,-6.67,68.69,310.00,11.0,30.29,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 05:52,-2.22,-7.22,68.57,320.00,9.0,30.28,0.00,10.0,17.00,M,ATL,GA_ASOS
ATL,2025-01-08 06:52,-2.78,-7.22,71.45,310.00,11.0,30.28,0.00,10.0,18.00,M,ATL,GA_ASOS
ATL,2025-01-08 07:52,-3.33,-7.22,74.46,310.00,15.0,30.28,0.00,10.0,21.00,M,ATL,GA_ASOS
ATL,2025-01-08 08:52,-3.33,-7.22,74.46,320.00,14.0,30.27,0.00,10.0,23.00,M,ATL,GA_ASOS
ATL,2025-01-08 09:52,-3.89,-7.78,74.36,320.00,11.0,30.26,0.00,10.0,23.00,M,ATL,GA_ASOS
ATL,2025-01-08 10:52,-3.89,-7.78,74.36,320.00,13.0,30.27,0.00,10.0,21.00,M,ATL,GA_ASOS
ATL,2025-01-08 11:52,-4.44,-8.33,74.26,330.00,13.0,30.26,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 12:52,-4.44,-8.33,74.26,320.00,11.0,30.27,0.00,10.0,20.00,M,ATL,GA_ASOS
ATL,2025-01-08 13:52,-3.33,-7.78,71.33,320.00,12.0,30.28,0.00,10.0,20.00,M,ATL,GA_ASOS
ATL,2025-01-08 14:52,-1.67,-7.22,65.81,310.00,17.0,30.3,0.00,10.0,23.00,M,ATL,GA_ASOS
ATL,2025-01-08 15:52,-0.56,-6.67,63.32,310.00,16.0,30.31,0.00,10.0,26.00,M,ATL,GA_ASOS
ATL,2025-01-08 16:52,1.11,-6.67,56.12,320.00,11.0,30.28,0.00,10.0,21.00,M,ATL,GA_ASOS
ATL,2025-01-08 17:52,2.22,-6.67,51.83,320.00,11.0,30.25,0.00,10.0,23.00,M,ATL,GA_ASOS
ATL,2025-01-08 18:52,2.78,-7.22,47.74,320.00,11.0,30.2,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 19:52,3.89,-7.22,44.14,300.00,11.0,30.17,0.00,10.0,19.00,M,ATL,GA_ASOS
ATL,2025-01-08 20:52,3.89,-7.22,44.14,280.00,11.0,30.16,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 21:52,3.33,-7.22,45.90,300.00,12.0,30.17,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 22:52,1.67,-7.22,51.67,300.00,11.0,30.17,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-08 23:52,0.56,-7.22,55.97,300.00,12.0,30.19,0.00,10.0,M,M,ATL,GA_ASOS
ATL,2025-01-09 00:52,0.00,-7.78,55.82,320.00,12.0,30.21,0.00,10.0,24.00,M,ATL,GA_ASOS
ATL,2025-01-09 01:52,-1.11,-8.33,57.98,320.00,15.0,30.21,0.00,10.0,27.00,M,ATL,GA_ASOS
ATL,2025-01-09 02:52,-1.67,-8.89,57.83,320.00,16.0,30.22,0.00,10.0,23.00,M,ATL,GA_ASOS
ATL,2025-01-09 03:52,-2.22,-8.89,60.25,340.00,12.0,30.23,0.00,10.0,M,M,ATL,GA_ASOS
